"iso","rcp","ssp","model","period","year_center","TT","flextotal","rawtotal","f2mort","f2total"
"ABW","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-8.96006977919733,2.85846791175156,NA,NA
"ABW","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-5.69637728552258,0.658367222386504,NA,NA
"ABW","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-3.58993798279104,-0.954115710243854,NA,NA
"ABW","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-2.51501487794737,-1.83132650930707,NA,NA
"ABW","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-2.14980777035548,-2.22009919651662,NA,NA
"AFG","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,0.23564689818562,-2.44997290001211,NA,NA
"AFG","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,3.15971452840787,-0.222120614322368,NA,NA
"AFG","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,3.71140499546814,3.93105690437208,NA,NA
"AFG","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,3.37454402917486,8.10228814494322,NA,NA
"AFG","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,2.98648889382201,9.35203555606342,NA,NA
"AGO","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-18.2871201095842,-5.07401221960403,NA,NA
"AGO","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-21.4376766535022,-9.68797207593024,NA,NA
"AGO","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-18.014921455029,-13.6083684630532,NA,NA
"AGO","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-14.4408577826147,-14.4981349767809,NA,NA
"AGO","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-12.6761184831449,-13.0806910247653,NA,NA
"AIA","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-20.0573867090208,-1.47882321040583,NA,NA
"AIA","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-20.1831545571756,-5.53090326740364,NA,NA
"AIA","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-18.9915545045297,-9.99197960622626,NA,NA
"AIA","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-17.6575261779318,-14.2580184005603,NA,NA
"AIA","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-16.762014614121,-14.5785942775326,NA,NA
"ALA","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-66.3563965286893,-11.0473492110288,NA,NA
"ALA","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-67.848376755888,-25.1471264849473,NA,NA
"ALA","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-64.448219761445,-42.8956354215157,NA,NA
"ALA","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-60.2237088823361,-56.5575989232728,NA,NA
"ALA","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-57.2331775969151,-63.0887466642985,NA,NA
"ALB","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,9.73384659282431,-1.89682940651796,NA,NA
"ALB","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,14.360680349796,1.12191548729089,NA,NA
"ALB","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,15.8635996135149,10.1896886764542,NA,NA
"ALB","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,15.7195757743398,23.2365889634457,NA,NA
"ALB","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,15.0359512417176,32.6692769578262,NA,NA
"AND","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-73.107106825081,-13.1552631402578,NA,NA
"AND","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-74.7138470777094,-29.8529261221784,NA,NA
"AND","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-70.9491239513339,-48.9248774548766,NA,NA
"AND","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-66.2883358495832,-61.6445547733827,NA,NA
"AND","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-62.994525642821,-67.9666507703955,NA,NA
"ARE","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-8.5813533277423,1.36147404123131,NA,NA
"ARE","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-9.56165362438053,-0.125072216748232,NA,NA
"ARE","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-9.7370707964665,-2.13658058667294,NA,NA
"ARE","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-9.46962835322606,-4.79491936581365,NA,NA
"ARE","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-9.20699071960447,-6.48342831420029,NA,NA
"ARG","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,0.896260424936892,-2.10705256230448,NA,NA
"ARG","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,0.939879513327568,-0.808605300550613,NA,NA
"ARG","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,0.900332579291222,1.92754331859817,NA,NA
