iso3,year,gcm,rcp,ssp,temperature_anomaly,pop,gdppc,loggdppc,avg_gdp_ref,lgdp_delta,mortality_impact
ISO_6,2012,ModelC,rcp45,ssp5,5.327381774912679,838611.2658527251,11751.664974335641,9.371750209477275,9.519576820727034,-0.1478266112497586,0.6027376885750385
ISO_19,2015,ModelC,rcp45,ssp3,-1.6779308800999868,3140740.0575530934,10477.56554988095,9.256991636031715,9.456692334549528,-0.19970069851781247,0.0917800097181219
ISO_14,2003,ModelC,rcp45,ssp4,5.737687780809303,2157360.995264503,10032.781000067718,9.213613110726422,9.500496803311556,-0.2868836925851337,0.7442791397770587
ISO_10,2004,ModelB,rcp85,ssp4,5.527295109560621,3105088.3995253034,13822.021278000324,9.534018344080073,9.531723948588876,0.002294395491196255,0.6385585366920185
ISO_7,2004,ModelC,rcp85,ssp3,4.961147883524363,3832207.0364314998,12139.476751543194,9.404217962493766,9.505644950703765,-0.10142698820999918,0.47533318596093205
ISO_6,2008,ModelA,rcp45,ssp5,-1.0689913080299798,2773944.7785614473,11977.044549310358,9.390747142512298,9.519576820727034,-0.12882967821473557,0.20722348294223447
ISO_18,2016,ModelC,rcp45,ssp5,2.70649550409885,3175388.7390187606,22919.18406929914,10.039729571124296,9.482736209515888,0.5569933616084075,0.016209608292723776
ISO_10,2012,ModelC,rcp85,ssp4,3.848023256651161,4682726.540532231,24716.010542952696,10.115206512744653,9.531723948588876,0.5834825641557764,0.3075514296203093
ISO_10,2001,ModelB,rcp45,ssp5,5.874251353767868,1565415.1170833313,7016.300268664448,8.855991330836401,9.531723948588876,-0.675732617752475,0.6679749731501985
ISO_3,2012,ModelB,rcp85,ssp4,-1.3761856012676663,1859903.2993063703,15230.22306886385,9.631037092457182,9.520675693194441,0.11036139926274124,0.13634259735720042
ISO_7,2020,ModelA,rcp45,ssp4,3.894233095673668,3616746.472375751,9791.355274813039,9.189255160551443,9.505644950703765,-0.3163897901523214,0.14226430344793717
ISO_2,2018,ModelB,rcp85,ssp3,0.049210529344016596,3095397.033571395,12096.840169391531,9.400699554455562,9.495652664255005,-0.09495310979944271,-0.06816482526292811
ISO_1,2002,ModelC,rcp85,ssp4,-1.4193618098879792,974811.2322446026,15119.05811861323,9.623711354050677,9.500474698781204,0.1232366552694728,0.12257524108181952
ISO_11,2009,ModelB,rcp85,ssp5,0.7923924709246943,1943121.819051402,12269.993810064776,9.414912033227631,9.494605047612485,-0.0796930143848531,0.16108033309734163
ISO_5,2001,ModelA,rcp85,ssp5,4.144523209337548,2392406.264311103,14649.829149851803,9.592183952251053,9.517234292679634,0.07494965957141986,0.31779165726337105
ISO_1,2012,ModelC,rcp45,ssp2,1.183648233336469,2155010.206045108,17486.563804450598,9.769188082412766,9.500474698781204,0.26871338363156205,0.1469715472101057
ISO_0,2018,ModelA,rcp45,ssp5,1.8377079018274367,973546.5607779999,15030.409384735969,9.617830720216128,9.512363382125422,0.10546733809070652,0.030934707360436423
ISO_11,2016,ModelB,rcp85,ssp2,5.956434691801091,4629707.449742885,10314.08255071954,9.24126547833295,9.494605047612485,-0.25333956927953416,0.7291099659395958
ISO_11,2020,ModelB,rcp85,ssp4,0.5919836960168343,3835361.9323004815,10387.10235383671,9.24832015721187,9.494605047612485,-0.24628489040061474,0.13608123280172327
ISO_16,2013,ModelA,rcp85,ssp5,2.538606792383159,2458643.577328476,7510.9548565228,8.924117881352785,9.562930573773265,-0.6388126924204798,0.11330121944030364
ISO_9,2011,ModelC,rcp85,ssp3,0.2871978145383469,3432299.0387034994,9494.157429678231,9.158431880991714,9.51370450179128,-0.3552726207995658,-0.0743812094709228
ISO_15,2020,ModelB,rcp45,ssp3,0.5350708169583447,4496685.093464057,29284.901199474145,10.284827344759412,9.540714624728333,0.7441127200310795,0.02517206486677122
ISO_14,2011,ModelB,rcp85,ssp3,3.260766781008673,767253.2975716989,9732.232271145753,9.183198570361903,9.500496803311556,-0.3172982329496534,0.12826667712744344
ISO_14,2010,ModelC,rcp85,ssp4,5.440982784853951,1326827.9484641906,8288.70045281374,9.022648475022471,9.500496803311556,-0.47784832828908463,0.4195654927339297
ISO_18,2006,ModelB,rcp85,ssp4,1.8812305544308927,2759236.1115575605,15183.599510400134,9.62797114473791,9.482736209515888,0.14523493522202102,0.10498046549663792
ISO_11,2003,ModelA,rcp85,ssp2,3.9155993605390185,4015150.819626557,12782.778269478096,9.455854096283256,9.494605047612485,-0.03875095132922901,0.3738647428614952
